['bateria', 'T2', 'T1', 'A2', 'A1', 'RRpm', 'LRpm', 'ax', 'ay', 'az', 'gx', 'gy', 'gz', 'mx', 'my', 'mz']
[-3525.4500000000003, 29.76328125, 0.0]
[-14.606250000000001, 97.5375, 39.965625]
[-14.606250000000001, 97.5375, 39.965625]
[-14.606250000000001, 97.5375, 39.965625]
[-16.565625, 98.433984375, 37.726171875]
[-16.3875, 98.971875, 38.5875]
[-16.3875, 98.971875, 38.5875]
[-15.675, 98.2546875, 39.62109375]
[-15.675, 98.2546875, 39.62109375]
[-15.675, 98.2546875, 39.62109375]
[-17.634375000000002, 99.151171875, 37.381640625]
[-15.675, 98.61328125, 37.8984375]
[-16.3875, 98.61328125, 38.5875]
[-16.3875, 98.61328125, 38.5875]
[-16.3875, 98.61328125, 38.5875]
[-15.853125, 99.509765625, 36.348046875]
[-15.853125, 99.509765625, 36.348046875]
[-15.31875, 97.5375, 37.553906250000004]
[-16.565625, 99.151171875, 36.692578125000004]
[-16.565625, 99.151171875, 36.692578125000004]
[-16.565625, 99.151171875, 36.692578125000004]
[-15.140625, 97.358203125, 37.037109375]
[-17.1, 97.89609374999999, 37.8984375]
[-17.1, 97.89609374999999, 37.8984375]
[-16.743750000000002, 97.89609374999999, 36.86484375]
[-16.743750000000002, 97.89609374999999, 36.86484375]
[-15.675, 99.33046875, 37.209375]
[-15.675, 99.33046875, 37.209375]
[-16.209375, 96.99960937499999, 38.070703125]
[-16.743750000000002, 98.971875, 37.209375]
[-16.743750000000002, 98.971875, 37.209375]
[-16.743750000000002, 98.971875, 37.209375]
[-17.45625, 99.33046875, 36.86484375]
[-17.45625, 99.33046875, 36.86484375]
[-15.675, 99.33046875, 37.553906250000004]
[-16.921875, 99.151171875, 38.070703125]
[-16.921875, 99.151171875, 38.070703125]
[-16.921875, 99.151171875, 38.070703125]
[-14.9625, 98.61328125, 37.553906250000004]
[-15.496875000000001, 97.716796875, 37.381640625]
[-15.496875000000001, 97.716796875, 37.381640625]
[-15.140625, 99.509765625, 37.381640625]
[-16.565625, 98.79257812499999, 37.381640625]
[-16.743750000000002, 96.8203125, 37.553906250000004]
[-16.743750000000002, 96.8203125, 37.553906250000004]
[-14.428125, 99.509765625, 37.381640625]
[-16.209375, 99.509765625, 36.692578125000004]
[-16.209375, 99.509765625, 36.692578125000004]
[-16.03125, 99.68906249999999, 36.86484375]
[-16.921875, 98.433984375, 37.726171875]
[-15.675, 99.33046875, 36.17578125]
[-15.675, 99.33046875, 36.17578125]
[-17.1, 99.33046875, 37.8984375]
[-15.853125, 99.151171875, 37.726171875]
[-15.853125, 98.075390625, 37.726171875]
[-15.140625, 98.433984375, 38.070703125]
[-15.675, 98.2546875, 38.24296875]
[-15.675, 98.2546875, 38.24296875]
[-15.675, 98.2546875, 38.24296875]
[-15.675, 98.61328125, 35.1421875]
[-15.675, 98.61328125, 35.1421875]
[-15.496875000000001, 98.075390625, 37.037109375]
[-17.1, 98.971875, 38.24296875]
[-17.1, 98.971875, 38.24296875]
[-15.496875000000001, 98.075390625, 38.759765625]
[-15.496875000000001, 98.075390625, 38.759765625]
[-16.03125, 97.89609374999999, 38.5875]
[-16.03125, 97.89609374999999, 38.5875]
[-16.209375, 98.79257812499999, 38.415234375000004]
[-16.3875, 98.971875, 37.209375]
[-16.3875, 98.971875, 37.209375]
[-16.3875, 98.971875, 37.209375]
[-17.278125, 98.79257812499999, 37.381640625]
[-16.565625, 98.79257812499999, 38.415234375000004]
[-16.565625, 98.79257812499999, 38.415234375000004]
[-17.278125, 98.79257812499999, 37.037109375]
[-17.278125, 98.79257812499999, 37.037109375]
[-17.278125, 98.79257812499999, 37.037109375]
[-15.31875, 97.17890625, 36.5203125]
[-16.3875, 99.68906249999999, 36.86484375]
[-16.565625, 97.358203125, 37.037109375]
[-16.565625, 97.358203125, 37.037109375]
[-16.743750000000002, 97.89609374999999, 37.8984375]
[-16.209375, 97.358203125, 37.726171875]
[-16.209375, 97.358203125, 37.726171875]
[-15.675, 98.61328125, 37.209375]
[-15.853125, 99.509765625, 37.037109375]
[-15.496875000000001, 99.509765625, 37.726171875]
[-15.496875000000001, 99.509765625, 37.726171875]
[-15.496875000000001, 98.075390625, 37.726171875]
[-16.921875, 98.433984375, 37.381640625]
[-16.921875, 98.433984375, 37.381640625]
[-14.071875, 98.433984375, 36.692578125000004]
[-16.565625, 98.433984375, 38.759765625]
[-16.565625, 98.433984375, 38.759765625]
[-15.853125, 99.151171875, 38.070703125]
[-16.565625, 97.716796875, 36.003515625]
[-16.565625, 97.716796875, 36.003515625]
[-17.45625, 99.68906249999999, 38.24296875]
[-14.071875, 98.433984375, 36.003515625]
[-14.071875, 98.433984375, 36.003515625]
[-16.743750000000002, 98.971875, 37.553906250000004]
[-17.1, 99.68906249999999, 37.553906250000004]
[-16.3875, 99.33046875, 37.8984375]
[-16.3875, 99.33046875, 37.8984375]
[-16.3875, 99.33046875, 37.8984375]
[-16.3875, 98.971875, 37.553906250000004]
